,city,latitude,longitude,Max Temp,humidity,Feels Like,cloudiness,wind speed,country name,date
0,Rikitea,-23.1203,-134.9692,70.52,69,70.52,1,12.3,French Polynesia,2022-08-23 06:49:01-07:00
1,Busselton,-33.65,115.3333,60.67,50,58.78,1,6.73,Australia,2022-08-23 06:49:01-07:00
2,Hithadhoo,-0.6,73.0833,81.73,77,87.46,87,15.08,Maldives,2022-08-23 06:49:02-07:00
3,Thompson,55.7435,-97.8558,51.96,82,50.72,0,2.3,Canada,2022-08-23 06:46:41-07:00
4,Tasiilaq,65.6145,-37.6368,41.16,78,37.42,16,5.59,Greenland,2022-08-23 06:49:02-07:00
5,Mataura,-46.1927,168.8643,44.13,79,42.22,100,3.85,New Zealand,2022-08-23 06:49:03-07:00
6,Yellowknife,62.456,-114.3525,52.32,54,49.78,40,8.05,Canada,2022-08-23 06:49:04-07:00
7,Cabra,37.4725,-4.4421,71.65,52,70.97,0,2.53,Spain,2022-08-23 06:49:04-07:00
8,Tiksi,71.6872,128.8694,41.05,80,39.56,99,3.0,Russia,2022-08-23 06:49:05-07:00
9,Kapaa,22.0752,-159.319,80.58,83,75.51,40,12.66,United States,2022-08-23 06:49:05-07:00
10,Saint Paul Harbor,57.79,-152.4072,54.91,94,54.52,100,9.22,United States,2022-08-23 06:49:06-07:00
11,Mount Isa,-20.7333,139.5,71.37,23,69.28,0,21.85,Australia,2022-08-23 06:49:06-07:00
12,Port-Gentil,-0.7193,8.7815,73.36,94,74.82,100,5.75,Gabon,2022-08-23 06:49:07-07:00
13,Emmett,43.8735,-116.4993,80.49,47,73.08,0,5.46,United States,2022-08-23 06:49:07-07:00
14,Grindavik,63.8424,-22.4338,46.35,93,40.73,0,8.05,Iceland,2022-08-23 06:49:08-07:00
15,Porgera,-5.4667,143.2,50.13,94,49.26,96,2.08,Papua New Guinea,2022-08-23 06:49:08-07:00
16,Tuatapere,-46.1333,167.6833,46.69,86,42.08,15,9.6,New Zealand,2022-08-23 06:49:09-07:00
17,Tual,-5.6667,132.75,79.54,82,79.54,98,18.81,Indonesia,2022-08-23 06:49:09-07:00
18,Garoowe,8.4054,48.4845,85.32,42,85.06,48,29.42,Somalia,2022-08-23 06:49:10-07:00
19,Bengkulu,-3.8004,102.2655,82.24,77,88.59,96,4.65,Indonesia,2022-08-23 06:49:10-07:00
20,Ust-Maya,60.4167,134.5333,63.55,37,61.34,62,9.22,Russia,2022-08-23 06:49:11-07:00
21,Awjilah,29.1081,21.2869,84.87,47,85.59,0,5.84,Libya,2022-08-23 06:49:11-07:00
22,Tuensang,26.2833,94.8333,90.73,50,96.01,95,1.57,India,2022-08-23 06:49:12-07:00
