,city,latitude,longitude,Max Temp,humidity,Feels Like,cloudiness,wind speed,country name,date
0,Fatehpur,25.9333,80.8,77.68,91,79.43,99,9.08,India,2022-08-21 19:38:17-07:00
1,Jamestown,42.097,-79.2353,74.84,68,74.95,75,5.75,United States,2022-08-21 19:38:17-07:00
2,Ushuaia,-54.8,-68.3,47.86,66,45.25,100,5.75,Argentina,2022-08-21 19:38:18-07:00
3,Castro,-24.7911,-50.0119,58.15,80,57.43,97,4.9,Brazil,2022-08-21 19:38:19-07:00
4,Chokurdakh,70.6333,147.9167,56.95,83,56.25,100,3.74,Russia,2022-08-21 19:38:19-07:00
5,Quatre Cocos,-20.2078,57.7625,66.31,72,65.79,10,9.01,Mauritius,2022-08-21 19:38:20-07:00
6,Butaritari,3.0707,172.7902,81.46,76,86.65,10,13.4,Kiribati,2022-08-21 19:38:21-07:00
7,Athabasca,54.7169,-113.2854,70.21,44,69.01,61,8.66,Canada,2022-08-21 19:38:21-07:00
8,Rikitea,-23.1203,-134.9692,71.06,72,71.26,100,16.02,French Polynesia,2022-08-21 19:38:22-07:00
9,Saint-François,46.4154,3.9054,66.67,63,64.87,72,0.0,France,2022-08-21 19:38:22-07:00
10,Busselton,-33.65,115.3333,49.12,73,44.85,46,10.29,Australia,2022-08-21 19:38:23-07:00
11,Spassk-Ryazanskiy,54.4072,40.3806,62.35,37,60.03,99,7.74,Russia,2022-08-21 19:38:23-07:00
12,Punta Arenas,-53.15,-70.9167,51.91,66,49.89,40,24.16,Chile,2022-08-21 19:34:16-07:00
13,Thunder Bay,48.4001,-89.3168,75.18,50,74.68,20,14.97,Canada,2022-08-21 19:35:18-07:00
14,Kapaa,22.0752,-159.319,82.09,68,84.38,3,4.0,United States,2022-08-21 19:38:24-07:00
15,Hong Kong,22.2855,114.1577,85.32,84,95.99,94,4.0,Hong Kong,2022-08-21 19:35:03-07:00
16,Atuona,-9.8,-139.0333,76.68,66,77.14,88,16.96,French Polynesia,2022-08-21 19:38:25-07:00
