,city,latitude,longitude,Max Temp,humidity,Feels Like,cloudiness,wind speed,country name,date
0,Rikitea,-23.1203,-134.9692,72.84,73,73.26,9,6.44,French Polynesia,2022-08-20 01:05:28-07:00
1,Meulaboh,4.1363,96.1285,77.4,89,79.02,69,4.41,Indonesia,2022-08-20 01:05:29-07:00
2,Hilo,19.7297,-155.09,89.28,83,78.21,100,6.91,United States,2022-08-20 01:05:24-07:00
3,Laas,46.6166,10.7002,59.36,95,59.47,100,6.31,Italy,2022-08-20 01:05:29-07:00
4,Souillac,-20.5167,57.5167,70.3,74,70.52,42,14.79,Mauritius,2022-08-20 01:01:46-07:00
5,Necochea,-38.5473,-58.7368,50.54,62,48.2,0,13.22,Argentina,2022-08-20 01:05:30-07:00
6,Mar del Plata,-38.0023,-57.5575,53.1,70,50.9,0,9.22,Argentina,2022-08-20 01:05:30-07:00
7,Vaini,-21.2,-175.2,75.36,83,76.5,20,13.8,Tonga,2022-08-20 01:05:30-07:00
8,Hermanus,-34.4187,19.2345,50.81,73,49.03,80,23.67,South Africa,2022-08-20 01:05:31-07:00
9,Lavrentiya,65.5833,-171.0,45.59,83,42.62,77,5.66,Russia,2022-08-20 01:05:31-07:00
10,Taoudenni,22.6783,-3.9836,96.08,28,95.2,83,4.43,Mali,2022-08-20 01:05:32-07:00
11,Sinnamary,5.3833,-52.95,80.17,82,84.88,46,11.52,French Guiana,2022-08-20 01:05:33-07:00
12,Nanortalik,60.1432,-45.2371,45.03,60,41.72,100,6.06,Greenland,2022-08-20 01:05:33-07:00
13,Ushuaia,-54.8,-68.3,31.17,88,26.1,54,5.01,Argentina,2022-08-20 01:00:48-07:00
14,Pierre,44.3683,-100.351,74.86,59,74.8,100,14.97,United States,2022-08-20 01:05:33-07:00
15,Faanui,-16.4833,-151.75,78.57,75,79.65,100,16.33,French Polynesia,2022-08-20 01:05:34-07:00
16,Tabuk,17.4189,121.4443,81.59,79,87.58,20,4.47,Philippines,2022-08-20 01:05:35-07:00
17,Punta Arenas,-53.15,-70.9167,35.71,87,28.71,20,9.22,Chile,2022-08-20 01:04:16-07:00
18,Port Lincoln,-34.7333,135.8667,58.1,72,57.0,30,6.46,Australia,2022-08-20 01:05:35-07:00
19,Buala,-8.145,159.5921,84.11,71,91.04,48,11.43,Solomon Islands,2022-08-20 01:05:36-07:00
20,Sturgis,41.7992,-85.4192,76.68,76,73.44,0,4.61,United States,2022-08-20 01:05:37-07:00
21,Eyl,7.9803,49.8164,76.55,82,77.76,100,18.97,Somalia,2022-08-20 01:05:37-07:00
22,Willowmore,-33.2926,23.4895,44.42,80,36.66,100,18.28,South Africa,2022-08-20 01:05:38-07:00
23,Hobart,-42.8794,147.3294,49.05,64,41.32,40,17.27,Australia,2022-08-20 01:05:38-07:00
24,Hithadhoo,-0.6,73.0833,81.09,77,86.05,99,11.72,Maldives,2022-08-20 01:05:38-07:00
25,Praia,14.9215,-23.5087,79.34,78,79.34,40,12.66,Cabo Verde,2022-08-20 01:05:39-07:00
26,Saint-Philippe,-21.3585,55.7679,67.59,77,67.01,41,12.57,Reunion,2022-08-20 01:05:40-07:00
27,Tuktoyaktuk,69.4541,-133.0374,44.6,93,40.17,100,8.05,Canada,2022-08-20 01:05:40-07:00
28,Bluff,-46.6,168.3333,57.79,65,56.34,80,6.64,New Zealand,2022-08-20 01:05:41-07:00
29,Bandarbeyla,9.4942,50.8122,76.55,84,77.85,88,25.1,Somalia,2022-08-20 01:05:41-07:00
30,Novy Urengoy,66.0833,76.6333,47.7,78,40.44,100,20.71,Russia,2022-08-20 01:05:42-07:00
31,Bonham,33.5773,-96.1783,87.39,55,87.57,0,4.61,United States,2022-08-20 01:05:42-07:00
32,Sitka,57.0531,-135.33,66.09,63,65.35,0,3.44,United States,2022-08-20 01:05:43-07:00
33,Deputatsky,69.3,139.9,61.03,61,59.7,78,11.45,Russia,2022-08-20 01:05:43-07:00
34,Kapaa,22.0752,-159.319,85.98,69,88.68,20,13.8,United States,2022-08-20 01:05:44-07:00
35,Hegra,63.4644,11.114,53.83,94,52.93,75,2.3,Norway,2022-08-20 01:05:44-07:00
36,Chui,-33.6971,-53.4616,43.07,73,39.15,0,6.46,Uruguay,2022-08-20 01:05:45-07:00
37,Geraldton,-28.7667,114.6,57.61,72,56.46,0,10.36,Australia,2022-08-20 01:05:45-07:00
38,Kaitangata,-46.2817,169.8464,55.71,63,53.94,96,3.58,New Zealand,2022-08-20 01:05:46-07:00
39,Rio Grande,-32.035,-52.0986,47.48,59,47.48,0,2.59,Brazil,2022-08-20 01:05:46-07:00
40,Aklavik,68.2191,-135.0107,44.78,81,37.72,100,15.9,Canada,2022-08-20 01:05:47-07:00
41,Beloha,-25.1667,45.05,66.06,57,65.05,51,7.72,Madagascar,2022-08-20 01:05:47-07:00
42,Tuatapere,-46.1333,167.6833,57.94,54,55.98,71,4.99,New Zealand,2022-08-20 01:05:48-07:00
43,Puerto Ayora,-0.7393,-90.3518,66.54,98,67.5,98,5.99,Ecuador,2022-08-20 01:05:48-07:00
44,Ugoofaaru,5.6667,73.0,81.54,75,86.59,100,6.73,Maldives,2022-08-20 01:05:49-07:00
45,Chu,43.5983,73.7614,60.17,29,57.25,3,6.82,Kazakhstan,2022-08-20 01:05:50-07:00
