,city,latitude,longitude,Max Temp,humidity,Feels Like,cloudiness,wind speed,country name,date
0,Yellowknife,62.456,-114.3525,63.12,59,61.92,75,8.05,Canada,2022-08-21 18:35:20-07:00
1,Alausí,-2.2,-78.8333,54.57,70,53.02,78,2.42,Ecuador,2022-08-21 18:36:33-07:00
2,Jamestown,42.097,-79.2353,79.05,59,76.98,100,5.75,United States,2022-08-21 18:36:37-07:00
3,Foki,56.693,54.3499,63.41,72,62.83,0,3.98,Russia,2022-08-21 18:36:37-07:00
4,Hermanus,-34.4187,19.2345,55.8,84,55.02,0,11.3,South Africa,2022-08-21 18:36:38-07:00
5,Ternate,0.8,127.4,79.63,81,79.63,63,2.53,Indonesia,2022-08-21 18:36:38-07:00
6,Avarua,-21.2078,-159.775,73.45,83,74.41,100,8.05,Cook Islands,2022-08-21 18:36:39-07:00
7,Dikson,73.5069,80.5464,43.05,95,36.72,100,11.92,Russia,2022-08-21 18:33:10-07:00
8,Leningradskiy,69.3833,178.4167,40.51,79,34.0,16,10.69,Russia,2022-08-21 18:36:39-07:00
9,Thompson,55.7435,-97.8558,69.96,60,69.48,75,16.11,Canada,2022-08-21 18:36:40-07:00
10,Berlevåg,70.8578,29.0864,67.95,77,67.91,0,13.8,Norway,2022-08-21 18:36:41-07:00
11,Jalu,29.0331,21.5482,86.4,46,87.35,0,18.07,Libya,2022-08-21 18:36:41-07:00
12,Forsytheganj,52.6333,29.7333,65.03,73,64.67,0,7.96,Belarus,2022-08-21 18:36:42-07:00
13,Abadan,38.0507,58.2056,74.93,17,72.91,0,6.91,Turkmenistan,2022-08-21 18:36:43-07:00
14,Acaraú,-2.8856,-40.12,85.78,52,88.14,43,18.05,Brazil,2022-08-21 18:36:43-07:00
15,Rikitea,-23.1203,-134.9692,71.49,73,71.78,100,17.29,French Polynesia,2022-08-21 18:36:44-07:00
16,Nishihara,26.1842,127.7558,83.86,84,93.99,100,9.22,Japan,2022-08-21 18:36:45-07:00
17,Barrow,71.2906,-156.7887,34.41,69,25.02,100,14.05,United States,2022-08-21 18:36:45-07:00
18,Carnarvon,-24.8667,113.6333,65.26,73,64.92,0,16.33,Australia,2022-08-21 18:36:46-07:00
19,Albany,42.6001,-73.9662,87.64,49,85.68,100,1.01,United States,2022-08-21 18:36:01-07:00
20,Segezha,63.7415,34.3222,61.39,75,60.76,47,12.73,Russia,2022-08-21 18:36:47-07:00
21,Portland,45.5234,-122.6762,80.78,65,76.53,40,5.75,United States,2022-08-21 18:27:41-07:00
22,Vaini,-21.2,-175.2,69.96,94,71.08,20,5.75,Tonga,2022-08-21 18:36:47-07:00
23,Puerto Ayora,-0.7393,-90.3518,75.16,91,70.48,94,5.01,Ecuador,2022-08-21 18:36:48-07:00
24,Ahmadpur Sial,30.6754,71.7483,81.19,76,86.09,88,6.6,Pakistan,2022-08-21 18:36:48-07:00
25,Grindavik,63.8424,-22.4338,55.35,66,50.29,0,14.97,Iceland,2022-08-21 18:36:49-07:00
26,Busselton,-33.65,115.3333,50.41,70,48.45,68,10.98,Australia,2022-08-21 18:36:50-07:00
27,Najrān,17.4924,44.1277,90.25,20,86.58,100,5.12,Saudi Arabia,2022-08-21 18:36:50-07:00
28,Lhokseumawe,5.1801,97.1507,78.04,84,79.5,100,3.98,Indonesia,2022-08-21 18:36:51-07:00
29,Ulaanbaatar,47.9077,106.8832,39.33,87,39.33,0,0.0,Mongolia,2022-08-21 18:35:31-07:00
30,Ushuaia,-54.8,-68.3,46.06,71,41.02,75,10.36,Argentina,2022-08-21 18:36:51-07:00
31,Kapaa,22.0752,-159.319,81.1,73,79.57,75,12.66,United States,2022-08-21 18:36:38-07:00
32,Butaritari,3.0707,172.7902,81.43,76,86.58,7,13.35,Kiribati,2022-08-21 18:36:52-07:00
33,San Vicente,-26.6167,-54.1333,69.51,56,68.79,68,0.54,Argentina,2022-08-21 18:36:52-07:00
34,Port Alfred,-33.5906,26.891,56.86,68,55.44,0,1.66,South Africa,2022-08-21 18:32:06-07:00
35,General Roca,-39.0333,-67.5833,58.59,44,56.21,0,10.18,Argentina,2022-08-21 18:35:42-07:00
36,Hong Kong,22.2855,114.1577,85.32,86,95.13,94,4.0,Hong Kong,2022-08-21 18:32:15-07:00
37,San Mateo del Mar,16.2,-95.0,89.47,61,98.98,27,13.53,Mexico,2022-08-21 18:36:58-07:00
38,Camacha,33.0833,-16.3333,71.02,73,71.26,20,6.91,Portugal,2022-08-21 18:36:58-07:00
39,Sarab,38.6066,44.9883,74.53,26,72.91,55,2.84,Iran,2022-08-21 18:36:59-07:00
40,Atuona,-9.8,-139.0333,76.75,66,77.22,86,16.35,French Polynesia,2022-08-21 18:36:59-07:00
41,North Bend,43.4065,-124.2243,73.17,91,64.27,0,4.61,United States,2022-08-21 18:34:02-07:00
42,Chui,-33.6971,-53.4616,57.52,58,55.71,100,2.75,Uruguay,2022-08-21 18:37:00-07:00
43,Sechura,-5.5569,-80.8222,74.32,60,74.26,100,15.79,Peru,2022-08-21 18:37:00-07:00
44,Shenjiamen,29.9576,122.298,79.84,95,79.84,37,7.54,China,2022-08-21 18:37:00-07:00
45,Faanui,-16.4833,-151.75,78.3,70,79.12,41,18.41,French Polynesia,2022-08-21 18:37:01-07:00
46,Ambon City,-3.6954,128.1814,77.14,88,78.69,40,6.91,Indonesia,2022-08-21 18:37:02-07:00
47,Cape Town,-33.9258,18.4232,55.11,76,52.18,0,1.99,South Africa,2022-08-21 18:37:02-07:00
48,Upernavik,72.7868,-56.1549,40.95,81,34.74,29,10.18,Greenland,2022-08-21 18:37:02-07:00
49,Hithadhoo,-0.6,73.0833,82.22,77,88.56,98,11.59,Maldives,2022-08-21 18:37:03-07:00
50,Puerto del Rosario,28.5004,-13.8627,82.15,69,86.49,0,12.66,Spain,2022-08-21 18:37:04-07:00
51,Eureka,40.8021,-124.1637,63.79,89,62.94,25,3.0,United States,2022-08-21 18:32:24-07:00
52,Geraldton,-28.7667,114.6,48.61,93,45.55,0,6.91,Australia,2022-08-21 18:37:05-07:00
53,Tuktoyaktuk,69.4541,-133.0374,42.8,81,35.44,100,14.97,Canada,2022-08-21 18:37:05-07:00
54,Presidente Epitácio,-21.7633,-52.1156,73.71,57,73.45,81,5.68,Brazil,2022-08-21 18:37:06-07:00
55,Santa Cruz de la Sierra,-17.8,-63.1667,77.05,20,75.4,0,13.8,Bolivia,2022-08-21 18:37:06-07:00
56,Waipawa,-41.4122,175.5153,48.56,86,45.45,100,7.0,New Zealand,2022-08-21 18:37:07-07:00
57,Bilibino,68.0546,166.4372,52.5,75,50.97,60,3.11,Russia,2022-08-21 18:32:23-07:00
58,Cham,47.1821,8.4636,71.76,68,68.11,100,0.0,Switzerland,2022-08-21 18:37:09-07:00
59,Latung,5.5,120.8833,83.86,67,89.24,100,6.22,Philippines,2022-08-21 18:37:10-07:00
60,Kerema,-7.9631,145.7785,74.75,92,76.24,75,3.62,Papua New Guinea,2022-08-21 18:37:11-07:00
61,Touros,-5.1989,-35.4608,80.19,65,82.62,79,18.72,Brazil,2022-08-21 18:37:11-07:00
62,Bethel,41.3712,-73.414,86.54,60,84.2,40,8.05,United States,2022-08-21 18:37:12-07:00
63,Longyearbyen,78.2186,15.6401,42.64,81,39.06,75,5.75,Svalbard and Jan Mayen Islands,2022-08-21 18:37:13-07:00
64,Souillac,-20.5167,57.5167,68.38,83,68.81,40,3.44,Mauritius,2022-08-21 18:37:13-07:00
65,Skovorodino,53.9833,123.9167,46.29,97,46.29,61,2.84,Russia,2022-08-21 18:37:14-07:00
66,Adrar,20.5022,-10.0711,101.19,20,99.03,0,11.65,Mauritania,2022-08-21 18:37:14-07:00
67,Constitución,-35.3333,-72.4167,61.61,62,60.39,0,8.61,Chile,2022-08-21 18:37:15-07:00
68,Tezu,27.9167,96.1667,77.56,96,79.52,14,2.57,India,2022-08-21 18:37:15-07:00
69,Udachny,66.4167,112.4,37.45,80,33.91,87,4.5,Russia,2022-08-21 18:37:15-07:00
70,Khatanga,71.9667,102.5,46.87,64,43.5,100,6.82,Russia,2022-08-21 18:37:16-07:00
71,Mataura,-46.1927,168.8643,48.47,99,47.93,100,3.02,New Zealand,2022-08-21 18:37:16-07:00
72,Tazovsky,67.4667,78.7,42.03,85,42.03,100,2.35,Russia,2022-08-21 18:37:17-07:00
73,Province of Mantua,45.1667,10.7833,86.95,65,79.92,0,3.62,Italy,2022-08-21 18:37:18-07:00
74,Husavik,66.0449,-17.3389,43.36,69,40.21,24,5.3,Iceland,2022-08-21 18:37:18-07:00
75,Badvel,14.75,79.05,81.19,70,84.97,100,10.38,India,2022-08-21 18:34:32-07:00
76,Severo-Kuril'sk,50.6789,156.125,55.33,99,55.22,86,4.43,Russia,2022-08-21 18:37:19-07:00
77,Tasiilaq,65.6145,-37.6368,44.76,95,44.76,100,0.54,Greenland,2022-08-21 18:37:20-07:00
78,Borgustanskaya,44.0547,42.5288,69.6,62,69.17,93,8.23,Russia,2022-08-21 18:37:20-07:00
79,Korla,41.7597,86.1469,72.27,29,70.56,100,20.67,China,2022-08-21 18:37:21-07:00
80,Mathathane,-22.2687,28.7495,58.3,59,56.61,15,10.8,Botswana,2022-08-21 18:37:21-07:00
81,Şereflikoçhisar,38.9393,33.5386,82.18,31,80.71,88,4.65,Turkey,2022-08-21 18:37:21-07:00
82,Tuatapere,-46.1333,167.6833,43.88,87,43.88,100,2.1,New Zealand,2022-08-21 18:37:23-07:00
83,Yanliang,34.6592,109.2292,87.44,53,91.18,100,5.7,China,2022-08-21 18:37:23-07:00
84,Bulgan,48.8125,103.5347,41.11,83,39.6,7,3.02,Mongolia,2022-08-21 18:37:24-07:00
85,Burla,21.5,83.8667,74.77,94,76.37,47,6.02,India,2022-08-21 18:32:31-07:00
86,Lexington Park,38.2668,-76.4538,80.73,84,78.84,100,5.75,United States,2022-08-21 18:37:25-07:00
87,Abilene,32.4487,-99.7331,82.62,71,83.88,100,8.05,United States,2022-08-21 18:37:25-07:00
88,Kalakamati,-20.5929,27.3121,53.35,67,51.53,0,16.31,Botswana,2022-08-21 18:37:26-07:00
89,Arraial do Cabo,-22.9661,-42.0278,69.76,56,68.95,40,10.36,Brazil,2022-08-21 18:37:26-07:00
90,Shahreza,32.0339,51.8794,73.31,15,71.04,6,6.38,Iran,2022-08-21 18:37:27-07:00
91,Ancud,-41.8697,-73.8203,60.22,67,59.09,74,4.21,Chile,2022-08-21 18:37:27-07:00
92,Qaanaaq,77.484,-69.3632,37.45,61,34.32,100,4.05,Greenland,2022-08-21 18:37:27-07:00
93,Paita,-5.0892,-81.1144,70.05,71,70.09,98,15.9,Peru,2022-08-21 18:37:28-07:00
94,Punta Arenas,-53.15,-70.9167,51.91,58,49.53,75,17.27,Chile,2022-08-21 18:37:28-07:00
95,Nikolskoye,59.7035,30.7861,69.8,68,66.34,34,6.02,Russia,2022-08-21 18:37:29-07:00
96,Kloulklubed,7.0419,134.2556,75.7,72,76.35,69,8.05,Palau,2022-08-21 18:37:30-07:00
97,Gizo Government Station,-8.103,156.8419,80.76,76,85.19,96,8.59,Solomon Islands,2022-08-21 18:37:30-07:00
98,Gordeyevka,52.9569,31.9703,67.41,52,66.29,100,10.85,Russia,2022-08-21 18:37:31-07:00
99,Tiksi,71.6872,128.8694,40.59,91,33.42,97,12.44,Russia,2022-08-21 18:37:31-07:00
100,Laas,46.6166,10.7002,70.68,71,70.79,24,5.32,Italy,2022-08-21 18:37:32-07:00
101,Jijiga,9.35,42.8,70.72,53,69.98,60,12.71,Ethiopia,2022-08-21 18:37:32-07:00
