,city,latitude,longitude,Max Temp,humidity,Feels Like,cloudiness,wind speed,country name,date
0,Faya,18.3851,42.4509,63.12,79,62.85,74,6.06,Saudi Arabia,2022-08-21 18:08:23-07:00
1,Auchi,7.0667,6.2667,76.8,78,77.85,76,2.84,Nigeria,2022-08-21 18:08:24-07:00
2,Airai,-8.9266,125.4092,50.88,73,49.1,32,4.07,Timor-Leste,2022-08-21 18:08:24-07:00
3,Ostrovnoy,68.0531,39.5131,64.08,68,63.37,31,22.21,Russia,2022-08-21 18:08:25-07:00
4,Nālūt,30.3333,10.85,91.58,14,87.33,0,10.69,Libya,2022-08-21 18:08:25-07:00
5,Sítio Novo do Tocantins,-5.5183,-47.4611,99.73,15,95.56,99,6.73,Brazil,2022-08-21 18:08:25-07:00
6,Daru,-9.0763,143.2092,75.54,85,76.78,38,15.97,Papua New Guinea,2022-08-21 18:08:26-07:00
7,Gejiu,23.306,103.1635,56.7,97,56.62,67,3.02,China,2022-08-21 18:08:27-07:00
8,Rikitea,-23.1203,-134.9692,71.51,74,71.83,97,16.2,French Polynesia,2022-08-21 18:06:23-07:00
9,Meulaboh,4.1363,96.1285,76.53,86,77.94,100,2.24,Indonesia,2022-08-21 18:06:24-07:00
10,Hilo,19.7297,-155.09,79.61,72,77.68,20,4.61,United States,2022-08-21 18:11:15-07:00
11,Laas,46.6166,10.7002,70.7,64,70.48,38,4.88,Italy,2022-08-21 18:11:42-07:00
12,Souillac,-20.5167,57.5167,68.38,83,68.81,40,3.44,Mauritius,2022-08-21 18:11:42-07:00
13,Necochea,-38.5473,-58.7368,49.12,74,44.85,100,10.25,Argentina,2022-08-21 18:11:43-07:00
14,Mar del Plata,-38.0023,-57.5575,51.82,80,49.51,75,11.5,Argentina,2022-08-21 18:10:52-07:00
15,Vaini,-21.2,-175.2,72.5,78,73.11,8,14.56,Tonga,2022-08-21 18:11:44-07:00
16,Hermanus,-34.4187,19.2345,55.8,83,54.97,0,12.68,South Africa,2022-08-21 18:11:44-07:00
17,Lavrentiya,65.5833,-171.0,39.92,79,34.32,4,8.34,Russia,2022-08-21 18:06:27-07:00
18,Taoudenni,22.6783,-3.9836,110.84,9,104.9,48,8.19,Mali,2022-08-21 18:06:27-07:00
19,Sinnamary,5.3833,-52.95,83.57,72,90.18,35,7.74,French Guiana,2022-08-21 18:06:27-07:00
20,Nanortalik,60.1432,-45.2371,42.03,81,34.2,35,15.79,Greenland,2022-08-21 18:06:28-07:00
21,Ushuaia,-54.8,-68.3,46.06,71,41.02,75,10.36,Argentina,2022-08-21 18:03:15-07:00
22,Pierre,44.3683,-100.351,88.72,39,85.15,0,11.5,United States,2022-08-21 18:02:44-07:00
23,Faanui,-16.4833,-151.75,78.26,71,79.12,72,19.51,French Polynesia,2022-08-21 18:06:29-07:00
24,Tabuk,17.4189,121.4443,74.39,93,75.9,100,3.04,Philippines,2022-08-21 18:06:33-07:00
25,Punta Arenas,-53.15,-70.9167,51.91,58,49.53,75,17.27,Chile,2022-08-21 18:06:34-07:00
26,Port Lincoln,-34.7333,135.8667,53.85,91,53.22,6,15.7,Australia,2022-08-21 18:06:34-07:00
27,Buala,-8.145,159.5921,78.71,82,78.71,80,6.58,Solomon Islands,2022-08-21 18:06:35-07:00
28,Sturgis,41.7992,-85.4192,76.48,82,75.13,75,4.61,United States,2022-08-21 18:06:35-07:00
29,Eyl,7.9803,49.8164,77.13,78,78.21,58,26.49,Somalia,2022-08-21 18:06:36-07:00
30,Willowmore,-33.2926,23.4895,52.59,45,49.66,0,2.98,South Africa,2022-08-21 18:06:36-07:00
31,Hobart,-42.8794,147.3294,56.26,66,52.11,100,21.85,Australia,2022-08-21 18:02:25-07:00
32,Hithadhoo,-0.6,73.0833,82.63,76,89.24,73,11.45,Maldives,2022-08-21 18:06:37-07:00
33,Praia,14.9215,-23.5087,81.14,83,87.37,75,11.5,Cabo Verde,2022-08-21 18:06:38-07:00
34,Saint-Philippe,-21.3585,55.7679,69.39,67,69.17,19,5.19,Reunion,2022-08-21 18:06:38-07:00
35,Tuktoyaktuk,69.4541,-133.0374,41.09,78,33.6,89,13.8,Canada,2022-08-21 18:06:23-07:00
36,Bluff,-46.6,168.3333,48.79,82,47.14,98,4.47,New Zealand,2022-08-21 18:06:39-07:00
37,Bandarbeyla,9.4942,50.8122,76.53,84,77.83,41,31.61,Somalia,2022-08-21 18:06:40-07:00
38,Novy Urengoy,66.0833,76.6333,48.65,70,48.09,100,3.06,Russia,2022-08-21 18:06:40-07:00
39,Bonham,33.5773,-96.1783,78.39,93,76.32,100,10.36,United States,2022-08-21 18:06:41-07:00
40,Sitka,57.0531,-135.33,57.09,88,56.64,100,4.61,United States,2022-08-21 18:06:41-07:00
41,Deputatsky,69.3,139.9,43.74,89,43.74,100,0.56,Russia,2022-08-21 18:06:42-07:00
42,Kapaa,22.0752,-159.319,80.58,82,77.14,75,12.66,United States,2022-08-21 18:06:24-07:00
43,Hegra,63.4644,11.114,55.31,94,54.9,100,3.44,Norway,2022-08-21 18:06:42-07:00
44,Chui,-33.6971,-53.4616,58.24,56,56.41,100,2.1,Uruguay,2022-08-21 18:06:43-07:00
45,Geraldton,-28.7667,114.6,50.41,93,49.53,0,11.5,Australia,2022-08-21 18:06:43-07:00
46,Kaitangata,-46.2817,169.8464,46.65,95,45.16,100,3.8,New Zealand,2022-08-21 18:06:44-07:00
47,Rio Grande,-32.035,-52.0986,68.11,74,62.42,16,5.91,Brazil,2022-08-21 18:06:44-07:00
48,Aklavik,68.2191,-135.0107,41.31,93,34.29,100,12.55,Canada,2022-08-21 18:06:45-07:00
49,Beloha,-25.1667,45.05,61.34,58,59.9,14,7.56,Madagascar,2022-08-21 18:06:45-07:00
50,Tuatapere,-46.1333,167.6833,44.33,89,44.33,100,2.84,New Zealand,2022-08-21 18:06:46-07:00
51,Puerto Ayora,-0.7393,-90.3518,75.16,94,70.63,95,4.0,Ecuador,2022-08-21 18:04:48-07:00
52,Ugoofaaru,5.6667,73.0,82.27,75,88.16,88,15.1,Maldives,2022-08-21 18:06:47-07:00
53,Chu,43.5983,73.7614,60.51,38,58.05,0,9.71,Kazakhstan,2022-08-21 18:06:48-07:00
54,Kysyl-Syr,63.8986,122.7617,44.19,89,41.68,100,4.59,Russia,2022-08-21 18:06:48-07:00
